"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
222,"300: Rise of an Empire",6.2,2014,102,"Action",273490,281.72,"Noam Murro","Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy."
223,"The Hunger Games: Mockingjay - Part 2",6.5,2015,137,"Action",271015,220.16,"Francis Lawrence","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson","Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem."
224,"Mission: Impossible - Fallout",7.7,2018,147,"Action",270211,213.77,"Christopher McQuarrie","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
225,"Solo: A Star Wars Story",6.9,2018,135,"Action",268220,54.01,"Ron Howard","Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover","During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion."
226,"Insidious 1",6.8,2010,103,"Horror",267416,65,"James Wan","Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye","A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further."
227,"Pitch Perfect",7.2,2012,112,"Comedy",267391,155.33,"Jason Moore","Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
228,"Snow White and the Huntsman",6.1,2012,127,"Action",266403,90.76,"Rupert Sanders","Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
229,"Prince of Persia: The Sands of Time",6.6,2010,116,"Action",264817,163.21,"Mike Newell","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina","A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time."
230,"Clash of the Titans",5.8,2010,106,"Action",264455,59.65,"Louis Leterrier","Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng","Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth."
231,"The Dictator",6.4,2012,83,"Comedy",263278,0.69,"Larry Charles","Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley","The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed."
232,"The Hunt",8.3,2012,115,"Drama",262238,95.72,"Thomas Vinterberg","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstr<U+00F8>m","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
233,"Zero Dark Thirty",7.4,2012,157,"Drama",262014,32.73,"Kathryn Bigelow","Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
234,"Annihilation",6.9,2018,115,"Adventure",261903,36.26,"Alex Garland","Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
235,"The Nice Guys",7.4,2016,116,"Action",261765,75.66,"Shane Black","Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
236,"Contagion",6.7,2011,106,"Action",261527,116.6,"Steven Soderbergh","Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow","Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure."
237,"Green Lantern",5.5,2011,114,"Action",260407,169.11,"Martin Campbell","Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps."
238,"Bridesmaids 1",6.8,2011,125,"Comedy",259615,504.01,"Paul Feig","Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
239,"Beauty and the Beast 1",7.1,2017,129,"Family",258374,125.1,"Bill Condon","Emma Watson, Dan Stevens, Luke Evans, Josh Gad","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
240,"Lone Survivor",7.5,2013,121,"Action",257866,168.05,"Peter Berg","Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
241,"Kong: Skull Island",6.6,2017,118,"Action",256884,45.45,"Jordan Vogt-Roberts","Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden."
242,"Bird Box",6.6,2018,124,"Drama",256472,100.23,"Susanne Bier","Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson","Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety."
243,"The Man from U.N.C.L.E.",7.3,2015,116,"Action",256133,27.85,"Guy Ritchie","Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
244,"Kingsman: The Golden Circle",6.7,2017,141,"Action",254997,364,"Matthew Vaughn","Taron Egerton, Colin Firth, Mark Strong, Channing Tatum","After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy."
245,"Moonlight 1",7.4,2016,111,"Drama",254327,89.76,"Barry Jenkins","Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood."
246,"The Jungle Book",7.4,2016,106,"Adventure",251504,248.76,"Jon Favreau","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
247,"Terminator Genisys",6.4,2015,126,"Action",251214,73.08,"Alan Taylor","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."
248,"Moana 1",7.6,2016,107,"Animation",250906,98.93,"Ron Clements","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
249,"John Carter",6.6,2012,132,"Action",249446,177,"Andrew Stanton","Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
250,"Olympus Has Fallen",6.5,2013,119,"Action",249363,245.44,"Antoine Fuqua","Gerard Butler, Aaron Eckhart, Morgan Freeman, Angela Bassett","Secret Service agent Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack and works with national security to rescue the President from his kidnappers."
251,"The World's End",7,2013,109,"Action",249267,26,"Edgar Wright","Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike","Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival."
252,"The Accountant",7.3,2016,128,"Action",248820,86.26,"Gavin O'Connor","Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
253,"Kick-Ass 2",6.5,2013,103,"Action",248326,28.8,"Jeff Wadlow","Aaron Taylor-Johnson, Chlo<U+00EB> Grace Moretz, Christopher Mintz-Plasse, Jim Carrey","Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for."
254,"Pirates of the Caribbean: Dead Men Tell No Tales",6.6,2017,129,"Action",248038,172.56,"Joachim R<U+00F8>nning","Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom","Captain Jack Sparrow (Johnny Depp) searches for the trident of Poseidon while being pursued by an undead sea Captain and his crew."
255,"Robin Hood",6.6,2010,140,"Action",247011,105.27,"Ridley Scott","Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow","In twelfth century England, Robin Longstride (Russell Crowe) and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
256,"Jurassic World: Fallen Kingdom",6.2,2018,128,"Action",246754,417.72,"J.A. Bayona","Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
257,"Non-Stop",6.9,2014,106,"Action",243524,92.17,"Jaume Collet-Serra","Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery","An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes."
258,"Dredd",7.1,2012,95,"Action",243241,13.41,"Pete Travis","Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
259,"Alien: Covenant",6.4,2017,122,"Horror",243235,74.26,"Ridley Scott","Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
260,"Kung Fu Panda 2",7.2,2011,90,"Animation",242800,165.25,"Jennifer Yuh Nelson","Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman","Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
261,"John Wick: Chapter 3 - Parabellum",7.5,2019,131,"Action",242751,171.02,"Chad Stahelski","Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere."
262,"Unknown 1",6.8,2011,113,"Action",242196,63.69,"Jaume Collet-Serra","Liam Neeson, Diane Kruger, January Jones, Aidan Quinn","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is."
263,"The A-Team",6.7,2010,117,"Action",241286,77.22,"Joe Carnahan","Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel","A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed."
264,"Dark Shadows",6.2,2012,113,"Comedy",239781,79.73,"Tim Burton","Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter","An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
265,"Predestination 1",7.5,2014,97,"Action",239763,0.07,"Michael Spierig","Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West","For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos."
266,"Creed 2",7.6,2015,133,"Drama",238115,109.77,"Ryan Coogler","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
267,"Lincoln",7.3,2012,150,"Biography",237327,182.21,"Steven Spielberg","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
268,"Noah",5.8,2014,138,"Action",237250,101.2,"Darren Aronofsky","Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson","Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world."
269,"The Place Beyond the Pines",7.3,2012,140,"Crime",237057,21.38,"Derek Cianfrance","Ryan Gosling, Bradley Cooper, Eva Mendes, Craig Van Hook","A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
270,"The Adjustment Bureau",7,2011,106,"Romance",235691,62.5,"George Nolfi","Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner","The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart."
271,"Warcraft",6.8,2016,123,"Action",235470,47.37,"Duncan Jones","Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
272,"The Grey",6.8,2011,117,"Action",235406,51.58,"Joe Carnahan","Liam Neeson, Dermot Mulroney, Frank Grillo, Dallas Roberts","After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step."
273,"Chronicle",7,2012,84,"Drama",235084,64.58,"Josh Trank","Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly","Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides."
274,"Total Recall 1",6.3,2012,118,"Action",235054,58.88,"Len Wiseman","Colin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale","A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run."
275,"Now You See Me 2",6.5,2016,129,"Action",234750,65.08,"Jon M. Chu","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco","The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
276,"The Other Guys",6.6,2010,107,"Action",234015,119.22,"Adam McKay","Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes","Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned."
277,"Seven Psychopaths",7.2,2012,110,"Comedy",233145,15.02,"Martin McDonagh","Colin Farrell, Woody Harrelson, Sam Rockwell, Christopher Walken","A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu."
278,"Manchester by the Sea",7.8,2016,137,"Drama",232518,47.7,"Kenneth Lonergan","Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges","A depressed uncle is asked to take care of his teenage nephew after the boy's father dies."
279,"Incredibles 2",7.6,2018,118,"Animation",232074,608.58,"Brad Bird","Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
280,"Battleship",5.8,2012,131,"Action",230756,65.42,"Peter Berg","Alexander Skarsg<U+00E5>rd, Brooklyn Decker, Liam Neeson, Rihanna","A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals."
281,"Finding Dory",7.3,2016,97,"Animation",228621,486.3,"Andrew Stanton","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson","Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
282,"Paul",7,2011,104,"Adventure",228375,37.41,"Greg Mottola","Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard","Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51."
283,"Shazam!",7.1,2019,132,"Action",228258,140.37,"David F. Sandberg","Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer","A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy."
284,"The Descendants",7.3,2011,115,"Comedy",228141,82.58,"Alexander Payne","George Clooney, Shailene Woodley, Amara Miller, Nick Krause","A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident."
285,"Rango",7.2,2011,107,"Animation",227124,123.48,"Gore Verbinski","Johnny Depp, Isla Fisher, Timothy Olyphant, Abigail Breslin","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
286,"Sucker Punch",6,2011,110,"Action",224424,36.39,"Zack Snyder","Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone","A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape."
287,"The Artist 1",7.9,2011,100,"Comedy",224404,44.67,"Michel Hazanavicius","Jean Dujardin, B¨¦r¨¦nice Bejo, John Goodman, James Cromwell","An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era."
288,"Don Jon",6.5,2013,90,"Comedy",223543,24.48,"Joseph Gordon-Levitt","Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
289,"Nocturnal Animals",7.5,2016,116,"Drama",223515,10.64,"Tom Ford","Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
290,"I Am Number Four",6.1,2011,111,"Action",223276,55.1,"D.J. Caruso","Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story."
291,"Sully",7.4,2016,96,"Biography",223190,125.07,"Clint Eastwood","Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey","The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
292,"The Twilight Saga: Breaking Dawn - Part 2",5.5,2012,115,"Adventure",222994,292.3,"Bill Condon","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
293,"Spy",7,2015,120,"Action",222949,110.83,"Paul Feig","Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster."
294,"Chappie",6.8,2015,120,"Action",222700,31.57,"Neill Blomkamp","Sharlto Copley, Dev Patel, Hugh Jackman, Sigourney Weaver","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
295,"Lawless",7.3,2012,116,"Crime",221618,37.4,"John Hillcoat","Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke","Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
296,"Escape Plan",6.7,2013,115,"Action",221050,25.13,"Mikael H<U+00E5>fstr<U+00F6>m","Sylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent D'Onofrio","When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside."
297,"End of Watch",7.6,2012,109,"Action",220952,41,"David Ayer","Jake Gyllenhaal, Michael Pe<U+00F1>a, Anna Kendrick, America Ferrera","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
298,"Grown Ups 1",5.9,2010,102,"Comedy",220355,162,"Dennis Dugan","Adam Sandler, Salma Hayek, Kevin James, Chris Rock","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
299,"The Twilight Saga: Eclipse",5,2010,124,"Adventure",219763,300.53,"David Slade","Kristen Stewart, Robert Pattinson, Taylor Lautner, Xavier Samuel","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
300,"Star Trek Beyond",7.1,2016,122,"Action",219737,158.85,"Justin Lin","Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."
301,"The Greatest Showman",7.6,2017,105,"Biography",219353,174.34,"Michael Gracey","Hugh Jackman, Michelle Williams, Zac Efron, Zendaya","Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
302,"Megamind",7.2,2010,95,"Animation",218820,148.42,"Tom McGrath","Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
303,"Ender's Game",6.6,2013,114,"Action",217918,61.74,"Gavin Hood","Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin","Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind."
304,"War for the Planet of the Apes",7.4,2017,140,"Action",217137,146.88,"Matt Reeves","Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
305,"The Tourist 1",6,2010,103,"Action",216489,67.63,"Florian Henckel von Donnersmarck","Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path."
306,"The Twilight Saga: Breaking Dawn - Part 1",4.9,2011,117,"Adventure",216119,281.29,"Bill Condon","Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
307,"The Lone Ranger",6.4,2013,150,"Action",215719,89.3,"Gore Verbinski","Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson","Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice."
308,"Lady Bird",7.4,2017,94,"Comedy",215491,48.96,"Greta Gerwig","Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
309,"Hotel Transylvania",7.1,2012,91,"Animation",215068,148.31,"Genndy Tartakovsky","Adam Sandler, Kevin James, Andy Samberg, Selena Gomez","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
310,"Warm Bodies",6.9,2013,98,"Comedy",214356,66.38,"Jonathan Levine","Nicholas Hoult, Teresa Palmer, John Malkovich, Analeigh Tipton","After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
311,"The Conjuring 2",7.3,2016,134,"Horror",212946,102.47,"James Wan","Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor","Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit."
312,"Maze Runner: The Scorch Trials",6.3,2015,131,"Action",212272,81.7,"Wes Ball","Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito","After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles."
313,"Just Go with It",6.4,2011,117,"Comedy",211939,103.03,"Dennis Dugan","Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
314,"RoboCop",6.1,2014,117,"Action",211646,58.61,"Jos¨¦ Padilha","Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish","In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer."
315,"The Ides of March",7.1,2011,101,"Drama",211150,40.96,"George Clooney","Paul Giamatti, George Clooney, Philip Seymour Hoffman, Ryan Gosling","An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail."
316,"Transcendence 1",6.3,2014,119,"Action",211143,23.02,"Wally Pfister","Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy","A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program."
317,"The Adventures of Tintin",7.3,2011,107,"Animation",210401,77.59,"Steven Spielberg","Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg","Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor."
318,"A Separation",8.3,2011,123,"Drama",209920,7.1,"Asghar Farhadi","Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini","A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease."
319,"Southpaw",7.4,2015,124,"Drama",209871,52.42,"Antoine Fuqua","Jake Gyllenhaal, Rachel McAdams, Oona Laurence, Forest Whitaker","A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction."
320,"Insurgent",6.2,2015,119,"Action",209705,130.18,"Robert Schwentke","Shailene Woodley, Ansel Elgort, Theo James, Kate Winslet","Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side."
321,"Sinister 1",6.8,2012,110,"Horror",209256,48.09,"Scott Derrickson","Ethan Hawke, Juliet Rylance, James Ransone, Fred Dalton Thompson","Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies which suggest the murder he's currently researching is the work of a serial killer whose work dates back to the 1960s."
322,"Ford v Ferrari",8.1,2019,152,"Action",208897,117.62,"James Mangold","Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe","American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966."
323,"Marriage Story",8,2019,137,"Comedy",208714,52,"Noah Baumbach","Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson","Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together."
324,"Predators",6.4,2010,107,"Action",206596,75.76,"Nimr¨®d Antal","Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga","A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race."
325,"The Intern 1",7.1,2015,121,"Comedy",206569,70.66,"Nancy Meyers","Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm","Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
326,"No Strings Attached 1",6.2,2011,108,"Comedy",206494,53.86,"Ivan Reitman","Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
