"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
144,"Alice in Wonderland 1",6.4,2010,108,"Adventure",372289,334.19,"Tim Burton","Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
145,"Spectre 1",6.8,2015,148,"Action",370981,200.07,"Sam Mendes","Daniel Craig, Christoph Waltz, L¨¦a Seydoux, Ralph Fiennes","A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
146,"Godzilla",6.4,2014,123,"Action",366321,200.68,"Gareth Edwards","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe","The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
147,"Wreck-It Ralph",7.7,2012,101,"Animation",365726,189.42,"Rich Moore","John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
148,"Justice League",6.4,2017,120,"Action",360568,229.02,"Zack Snyder","Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
149,"The Cabin in the Woods",7,2011,95,"Horror",359343,42.07,"Drew Goddard","Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
150,"Scott Pilgrim vs. the World",7.5,2010,112,"Action",359049,31.49,"Edgar Wright","Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick","Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart."
151,"In Time",6.7,2011,109,"Action",358994,37.52,"Andrew Niccol","Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
152,"Furious 6",7.1,2013,130,"Action",358919,238.68,"Justin Lin","Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
153,"Despicable Me 2",7.3,2013,98,"Animation",358865,368.06,"Pierre Coffin","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
